
<li><code>s</code> refers to <code>'a'</code>, <code>ch</code> refers to <code>'a'</code></li>

<li><code>s</code> refers to <code>'aaaaaa'</code>, <code>ch</code> refers to <code>'a'</code></li>

</ul>","<ul>

<li><code>s</code> refers to <code>''</code>, <code>ch</code> refers to <code>'b'</code></li>

<li><code>s</code> refers to <code>'a'</code>, <code>ch</code> refers to <code>'b'</code></li>

<li><code>s</code> refers to <code>'aaaaaa'</code>, <code>ch</code> refers to <code>'b'</code></li>

</ul>","<ul>

<li><code>s</code> refers to <code>''</code>, <code>ch</code> refers to <code>'a'</code></li>

<li><code>s</code> refers to <code>'a'</code>, <code>ch</code> refers to <code>'a'</code></li>

<li><code>s</code> refers to <code>'1'</code>, <code>ch</code> refers to <code>'1'</code></li>

<li><code>s</code> refers to <code>'a'</code>, <code>ch</code> refers to <code>'b'</code></li>

<li><code>s</code> refers to <code>'abc'</code>, <code>ch</code> refers to <code>'b'</code></li>

<li><code>s</code> refers to <code>'123'</code>, <code>ch</code> refers to <code>'2'</code></li>

<li><code>s</code> refers to <code>'abc'</code>, <code>ch</code> refers to <code>'d'</code></li>

<li><code>s</code> refers to <code>'abcabca'</code>, <code>ch</code> refers to <code>'a'</code></li>

</ul>","<ul>

<li><code>s</code> refers to <code>''</code>, <code>ch</code> refers to <code>'a'</code></li>

<li><code>s</code> refers to <code>'a'</code>, <code>ch</code> refers to <code>'a'</code></li>

<li><code>s</code> refers to <code>'a'</code>, <code>ch</code> refers to <code>'b'</code></li>

<li><code>s</code> refers to <code>'abc'</code>, <code>ch</code> refers to <code>'b'</code></li>

<li><code>s</code> refers to <code>'abc'</code>, <code>ch</code> refers to <code>'d'</code></li>

<li><code>s</code> refers to <code>'abcabca'</code>, <code>ch</code> refers to <code>'a'</code></li>

</ul>",,,,,,,,,,,

"Select the list(s) that are possible return values for the <code>recommend</code> function:

<pre>

def recommend(file, price, cuisines_list):

    """"""(file open for reading, str, list of str) -> list of [int, str] list



    Find restaurants in file that are priced according to price and that are

    tagged with any of the items in cuisines_list.  Return a list of lists of

    the form [rating%, restaurant name], sorted by rating%.

    """"""

</pre>","<code>[[99, 'Fries!'], [78, 'Poutinerie'], [78, 'Fresh-Cut Potatoes']]</code>","<code>[99, 'Fries!']</code>","<code>[[78, 'Poutinerie'], [99, 'Fries!'], [78, 'Fresh-Cut Potatoes']]</code>",<code>[]</code>,,,,,,,,,,,

"This question uses classes <code>Contact</code> and <code>Email</code> from the previous questions.<br><br>



This method is added to class <code>Email</code>:

<pre>

    def __str__(self):

        """""" (Email) -> str



        Return a string representation of this email.

        """"""

      

        result = 'To: '

        for contact in self.recipients:

            result = result + '{0}, '.format(contact)



        result = result + '\nSubject: {0}'.format(self.subject)

        result = result + '\n{0}'.format(self.body)

        return result

</pre>



Variable <code>message</code> refers to an <code>Email</code> object created with:

<ul>

<li>recipients: <code>[Contact('Paul', 'Gries', 'paul@example.com'), Contact('Jen', 'Campbell', 'jen@example.com')]</code></li>

<li>subject: <code>'2nd MOOC'</code>, and </li>

<li>body <code>'Hi!\nI hope your 2nd MOOC is going well!\nBye :-)'</code>.</li>

</ul>



What is printed when <code>print(message)</code> is executed?","<pre>

To: [Paul Gries &lt;paul@example.com&gt;, Jen Campbell &lt;jen@example.com&gt;]

Subject: 2nd MOOC 

Hi! 

I hope your 2nd MOOC is going well! 

Bye :-) 

</pre>        ","<pre>

To: Paul Gries &lt;paul@example.com&gt;, Jen Campbell &lt;jen@example.com&gt;,  

Subject: 2nd MOOC 

Hi! 

I hope your 2nd MOOC is going well! 

Bye :-) 

</pre>        ","<pre>

To: Contact('Paul', 'Gries', 'paul@example.com'), Contact('Jen', 'Campbell', 'jen@example.com')

Subject: 2nd MOOC 

Hi! 

I hope your 2nd MOOC is going well! 

Bye :-) 

</pre>        ","<pre>

To: [Contact('Paul', 'Gries', 'paul@example.com'), Contact('Jen', 'Campbell', 'jen@example.com')]

Subject: 2nd MOOC 

Hi! 

I hope your 2nd MOOC is going well! 

Bye :-) 

</pre>        ",,,,,,,,,,,

"If <code>s</code> refers to the empty string, then the initialization makes <code>i</code> refer to <code>0</code> and <code>j</code> refer to <code>-1</code>.  What happens when Python evaluates the loop condition?

<pre>

def is_palindrome_v3(s):



    i = 0

    j = len(s) - 1

    while i &lt; j and s[i] == s[j]:

        i = i + 1

        j = j - 1



    return j &lt;= i

</pre>","It results in an <code>IndexError</code>.  Because <code>j</code> refers to <code>-1</code>, when Python evaluates <code>s[i] == s[j]</code>, <code>s[-1]</code> is not a valid character.","The first subexpression, <code>i &lt; j</code>, evaluates to <code>False</code>, and so <code>s[i] == s[j]</code> isn't even evaluated.  Because the loop condition evaluates to <code>False</code>, the loop terminates.","Both subexpressions in the condition evaluate to <code>True</code>, so this is an infinite loop.",,,,,,,,,,,,

"If you were writing a calendar application using top-down design, which of the following functions might you expect to see written first?",show_events(),schedule_event(),check_event_overlap(),date_in_n_days(),is_weekend(),show_calendar(),get_new_event_time(),,,,,,,,

"Consider the function below, which prints every third character in string <code>s</code>, starting from the first character.  The expression in the call on function <code>print</code> is missing.

<pre>def print_every_third_char(s):

    for i in range(0, len(s), 3):

        <b>print(_____)</b></pre>

Given this call: <code>print_every_third_char('abcABCabcABC')</code>, select the expression(s) that will cause the function to print this:

<pre>a

A

a

A</pre>",<code>i</code>,<code>s[i + 1]</code>,<code>s[i]</code>,<code>s[i:i + 1]</code>,,,,,,,,,,,

"Consider this code:

<pre>phrase = 'laughing out loud'</pre>

Select the expression(s) that produce <code>'lol'</code>.","<code>phrase[0] + phrase[9] + phrase[-4]</code>

",<code>phrase[-4] + phrase[-3] + phrase[0]</code>,<code>phrase[0] + phrase[9] + phrase[0]</code>,,,,,,,,,,,,

"If <code>temperatures</code> refers to <code>[18, 20, 22.5, 24]</code>, select the statement(s) that refer to <code>24</code>.",<code>temperatures[-1]</code>,<code>temperatures[4]</code>,<code>temperatures[3:]</code>,<code>temperatures[3:4]</code>,,,,,,,,,,,

"If <code>temperatures</code> refers to <code>[18, 20, 22.5, 24]</code>, what does <code>temperatures[1]</code> refer to?",18,20,22.5,24,,,,,,,,,,,

Select the expression(s) that return True.,"<code>len([1, 2, 3]) == len(['a', 'b', 'c'])</code>","<code>len('mom') in [1, 2, 3]</code>","<code>'a' in ['mom', 'dad']</code>","<code>[1, 2, 3] in len('mom')</code>","<code>'3' in [1, 2, 3]</code>","<code>int('3') in [len('a'), len('ab'), len('abc')]</code>",,,,,,,,,

"In the call to <code>shift_left</code> below, what will <code>L</code> refer to after the <i>first</i> iteration of the <code>for</code> loop?

<pre>def shift_left(L):

    first_item = L[0]

    for i in range(1, len(L)):

        L[i - 1] = L[i]



    L[-1] = first_item



letters = ['z', 'y', 'x', 'w']

shift_left(letters)</pre>","<code>['z', 'z', 'x', 'w']</code>","<code>['y', 'y', 'x', 'w']</code>","<code>['y', 'x', 'w', 'w']</code>","<code>['z', 'y', 'x', 'w']</code>",,,,,,,,,,,

"What will be printed when this code is executed?



<pre>num = 6

while num > 0:

    num = num - 2

    print(num)</pre>","<pre>6

4

2

0</pre>","<pre>6

4

2</pre>","<pre>4

2

0</pre>","<pre>4

2</pre>",,,,,,,,,,,

"These two loops sometimes print <b>different</b> results. Why?

<pre>i = 0

while i &lt; len(s) and not (s[i] in 'aeiouAEIOU'):

    print(s[i])

    i = i + 1</pre>



<pre>for char in s:

    if not (char in 'aeiouAEIOU'):

        print(char)</pre>

","The <code>while</code> loop looks at every character in <code>s</code>, but the <code>for</code> loop ends as soon a vowel is found.",The <code>while</code> loop will cause an error if <code>s</code> is the empty string.,The <code>for</code> loop will cause an error if <code>s</code> is the empty string.,"The <code>for</code> loop looks at every character in <code>s</code>, but the <code>while</code> loop ends as soon a vowel is found.",,,,,,,,,,,

Select the syntactically correct <code>if</code> statement(s).,"<small><pre>if 18 &lt; temp and temp &lt; 26:

    print(""A comfortable temperature"")

elif temp > 26:

    print(""It's quite warm in here"")</pre></small>","<small><pre>if temp &lt; 0:

    print(""It's toque weather!"")</pre></small>","<small><pre>if 18 &lt; temp and temp &lt; 26:

    print(""A comfortable temperature"")

    print(""Let's go for a swim"")</pre></small>","<small><pre>if 18 &lt; temp and temp &lt; 26:

    print(""A comfortable temperature"")

else:

    print(""Be prepared for anything"")

elif temp &lt; 18:

    print(""Better bring a sweater"")</pre></small>",,,,,,,,,,,

What value does the expression <code>float(str(45))</code> produce?,<code>45</code>,<code>45.0</code>,<code>'45.0'</code>,An error occurs.,,,,,,,,,,,

What value does the expression <code>str(int('99')) == '99'</code> produce?,<code>'99'</code>,<code>False</code>,<code>True</code>,An error occurs.,,,,,,,,,,,

"Consider this code:



<small><pre>def how_big(n):

    if n > 10:

        return ""It's pretty big.""

    else:

        return ""It's not so big.""

        

print(how_big(5))</pre></small>



When the code above is executed, what is printed?",<pre>It's pretty big.</pre>,<pre>It's not so big.</pre>,"<pre>It's pretty big.

It's not so big.</pre>",,,,,,,,,,,,

"Consider this code:



<pre>def howbig(n):

    if n > 100:

         return ""It's huge.""

    elif n > 10:

        return ""It's pretty big.""

    else:

        return ""It's not so big.""

        

print(howbig(150))</pre>



When the code above is executed, what is printed?",<pre>It's pretty big.</pre>,<pre>It's huge.</pre>,"<pre>It's huge.

It's pretty big.</pre>","<pre>It's huge.

It's pretty big.

It's not so big.</pre>",,,,,,,,,,,

"Using conventions from class, which of the following would you use to test

a function named <code>add</code> in the module named <code>math</code> using unittest?","<pre>

class TestMath(unittest.TestCase):

    def zero_plus_zero(self):

        # ...</pre>","<pre>

class TestAdd(unittest.TestCase):

    def zero_plus_zero(self):

        # ...</pre>","<pre>

class TestMath(unittest.TestCase):

    def test_zero_plus_zero(self):

        # ...</pre>","<pre>

class TestMath(unittest.TestCase):

    def test_add_zero_plus_zero(self):

        # ...</pre>","<pre>

class TestAdd(unittest.TestCase):

    def test_add_zero_plus_zero(self):

        # ...</pre>","<pre>

class TestAdd(unittest.TestCase):

    def test_add_zero_plus_zero():

        # ...</pre>",,,,,,,,,

"Consider this code:

<pre>

animal_to_locomotion = {'fish' : ['swim'],

                        'kangaroo' : ['hop'],

                        'frog' : ['swim', 'hop']}

animal_to_locomotion['orangutan'].append('brachiate')

</pre>

Will the number of key/value pairs in the dictionary increase?",yes,no,,,,,,,,,,,,,

"Some of the following code fragments have good comments and some do not.

Select the one(s) that have good comments.","<pre>series = [1]

counter = 0

cur_value = 0



while cur_value < 100:	

    cur_value = cur_value + series[counter - 1]

    series.append(cur_value)			

    counter = counter + 1

    

print(series)</pre>","<pre># Initialize values

series = [1]

counter = 0

cur_value = 0



# Calculate values until it exceeds 100.

while cur_value < 100:	



    # Sum the current value with the last value calculated.

    cur_value = cur_value + series[counter - 1]

    

    # Add the current value to the list.

    series.append(cur_value)



    counter = counter + 1

    

print(series)</pre>","<pre>series = [1]  # The Fibonacci numbers found so far.

counter = 0  # The index of the last Fibonacci number in list series.

cur_value = 0  # The last Fibonacci number, or 0 if we're just starting.



while cur_value < 100:	

    cur_value = cur_value + series[counter - 1]

    series.append(cur_value)		

    counter = counter + 1

    

print(series)</pre>

	counter = 0  # The index of the last Fibonacci number in list series.

	cur_value = 0  # The last Fibonacci number, or 0 if we're just starting.



  	while cur_value < 100:	

		cur_value = cur_value + series[counter - 1]

		series.append(cur_value)		

		counter = counter + 1

		

	print(series)</pre>","<pre># Initialize series list.

series = [1]



# Initialize counter.

counter = 0



# Initialize cur_value.

cur_value = 0



# Check if the cur_value is less than 100.

while cur_value < 100:	



    # Sums the cur_value with the list item at series[counter - 1].

    cur_value = cur_value + series[counter - 1]

    

    # Append cur_value to series.

    series.append(cur_value)

    

    # Add one to the counter.

    counter = counter + 1

    

# Print the results.

print(series)</pre>",,,,,,,,,,,

Which value does <code>'hello'.count('l')</code> return?,0,2,3,,,,,,,,,,,,

"Which of the following code fragments is the simplest way to, from a file named ""books.txt"", read a list of book titles and call numbers (separated by a comma), and create a dictionary from call numbers to book titles?","<pre>

filename = 'books.txt'

open(books.txt, r)

open(""books.txt"")

call_number_to_title = {}

file = open(filename)

line = file.readline()

for line in file.read().split('\n'):

while line != '':

    line.strip()

    line_data = line.split(',')

    title = line_data[0]

    call_number = line_data[1]

    line = file.readline()

    call_number_to_title[call_number] = title

    call_number_to_title[title] = call_number



close('books.txt')

file.close()

close(file)

</pre>","<pre>

open(""books.txt"")

call_number_to_title = {}



line = file.readline()

while line!= '':

    line.strip()

    line_data = line.split(',')



    title = line_data[0]

    call_number = line_data[1]



    call_number_to_title[call_number] = title

    call_number_to_title[title] = call_number



    line = file.readline()



close(""books.txt"")

</pre>","<pre>

filename = 'books.txt'    

call_number_to_title = {}



file = open(filename)



for line in file:

    line_data = line.split(',')



    title = line_data[0].strip()

    call_number = line_data[1].strip()



    call_number_to_title[call_number] = title



file.close()

</pre>","<pre>

call_number_to_title = {}



for line in ""books.txt"":

    call_number_to_title[line[1].strip()]  = line[0].strip()

</pre>





",,,,,,,,,,,

"Consider this code:

<pre>

animal_to_locomotion = {'fish' : ['swim'],

                        'kangaroo' : ['hop'],

                        'frog' : ['swim', 'hop']}

animal_to_locomotion['kangaroo'].append('airplane')

</pre>

Will an error occur when the code is executed?",yes,no,,,,,,,,,,,,,

"Consider this code:

<pre>

def sum_items(L):

    """""" (list of number) -> number



    Precondition: len(L) >= 1



    Return the sum of the items in L.

    """"""



    total = 0



    for item in L:

        total = item



    return total

</pre>

There is a bug in the implementation of the function above (the code does not work as described). Select the test(s) that reveal the bug.

<br>","<code>L</code> refers to <code>[1, 2]</code>.","<code>L</code> refers to <code>[0, 0, 2]</code>.","<code>L</code> refers to <code>[1, 0, 1]</code>.",<code>L</code> refers to <code>[1]</code>.,,,,,,,,,,,

Select the proper way to run a doctest.,"<pre>

import doctest

if __name__ == '__main__':

    # code to test



    doctest.testmod()

</pre>","<pre>

import doctest

    

#code to test

    

doctest.testmod()</pre>","<pre>

import doctest



# code to test



if __name__ == '__main__':

    doctest.testmod()</pre>","<pre>

    # code to test



    doctest.testmod()</pre>","<pre>

import doctest



# code to test



if __name__ == '__main__':

    testmod()</pre>",,,,,,,,,,

"To perform a binary search, what characteristic(s) must the list have?",It must contain only numbers.,It must not contain duplicates.,It must be sorted.,It must contain only strings.,,,,,,,,,,,

"Consider the following class:

<pre>

class Study: 

    def __init__(self): 

        self.results = ""None"" 

</pre>



What method would you need to add if you wanted this code to print ""None""?

<pre>

s = Study()

print(s)

</pre>

","<pre>def __print__(self):

    print(self.results)</pre>","<pre>def __str__(self):

    print(self.results)</pre>","<pre>def __str__():

    return results</pre>","<pre>def __str__(self): 

    return self.results</pre>","<pre>def __str__(self, s) 

    print(s.results)</pre>",,,,,,,,,,

"When opening a file in python, you <b>can</b> specify how you want to open it with a second parameter.  Select the call(s) on function <code>open</code> that do what the comment says.","<pre># Open file for reading.

file = open(""test_file.txt"")</pre>","<pre># Open file for reading.

file = open(""test_file.txt"", ""r"")</pre>","<pre># Open file for writing.

file = open(""test_file.txt"")</pre>","<pre># Open file for writing.

file = open(""test_file.txt"", ""w"")</pre>","<pre># Open file for appending.

file = open(""test_file.txt"", ""a"")</pre>",,,,,,,,,,

"Consider this <code>doctest</code> message:<pre>

File ""/Users/ltp/doctest/qq.py"", line 3, in __main__.average

Failed example:

    average(1, 2, 3)

Expected:

    2.0

Got:

    4.0

**********************************************************************

1 items had failures:

   1 of   1 in __main__.average

***Test Failed*** 1 failures.

</pre>

Which value does the function call <code>average(1, 2, 3)</code> return?",2,4,,,,,,,,,,,,,

"Which of questions 6, 7, and 8 contain code that has <em>quadratic running time</em>? Select all that apply

",question 6,question 7,question 8,,,,,,,,,,,,

"Consider this code:

<pre>

x = 3

y = 5

x = y 

</pre>

After the code above has executed, what value does <code>y</code> refer?",3,3,5,5,,,,,,,,,,,

Select the Boolean expression(s) that evaluate to True. ,"{'a': 1, 'b': 2}['b'] == 2","{'a': 1, 'b': 2} == {""b"": 2, ""a"": 1}","{'a': 1, 'b': 2}['c'] == None","'a' in {'a': 1, 'b': 2}.keys()","len({'a': 1, 'b': 2}) == 2","sum({'a': 1, 'b': 2}.values()) == 3",,,,,,,,,

"Select the code fragment(s) that will result in an error if <code>c</code> refers to a non-empty <code>tuple</code>.



HINT: Do <code>dir(tuple)</code> in your Python shell to see all the supported tuple methods. You can ignore any method with a name starting with double underscores.",<pre>print(c[0])</pre>,<pre>c[0] = 5</pre>,<pre>c.pop()</pre>,<pre>c.reverse()</pre>,<pre>c[:1]</pre>,<pre>len(c)</pre>,"<pre>for e in c:

    print(e)</pre>",,,,,,,,

"Consider this code:

<pre>

def g(a, b):

    c = a + b

    return c

</pre>

How many parameters does function <code>g</code> have?",0,1,2,3,,,,,,,,,,,

Variable <code>my_account</code> represents the dollar amount of money in a bank account (as a float).  Select the statement(s) that assigns a Boolean variable <code>is_rich</code> the value <code>True</code> iff (if and only if) there is at least one million dollars in the bank account.,is_rich = my_account == 1000000,is_rich = my_account >= 1000000,is_rich = my_account > 1000000,is_rich = 1000000 <= my_account,,,,,,,,,,,

"Consider this code:

<pre>

>>> a = [1, 2, 3]

>>> b = a

>>> # MISSING CODE HERE

>>> print(a, b)

[1, 'A', 3] [1, 'A', 3]

</pre>



Which of the following code fragments(s) could be the missing code in the program above?",<pre>a[1] = 'A'</pre>,<pre>b[-2] = 'A'</pre>,"<pre>

b[1] = 'AB'

a[1] = a[1][0]

</pre>","<pre>

a = [1, 'A', 3]

b = [1, 'A', 3]

</pre>",,,,,,,,,,,

Select the code fragment(s) that evaluate(s) to <code>True</code>.,<pre>'how are you?'.isspace()</pre>,<pre>'   Hi!   '.strip() == 'Hi!    '</pre>,<pre>'hello'.rfind('l') == 3</pre>,<pre>'007B!'.isupper()</pre>,,,,,,,,,,,

"Given the following code:



<pre>def some_function():

    counter = 0

	

    while counter < 50:

        print(counter)

</pre>



Select the option that best describes what happens when <code>some_function</code> is called.",The numbers 0 to 50 are printed.,The numbers 1 to 49 are printed.,Nothing is printed because the loop is infinite.,A lot of 0's are printed because the loop is infinite.,,,,,,,,,,,

"Consider this code:



<pre>

def is_one_to_one(d):

    """""" (dict of {str: int}) -> bool



    Return True if and only if no two of d's keys map to the same value.



    >>> is_one_to_one({'a': 1, 'b': 2, 'c': 3})

    True

    >>> is_one_to_one({'a': 1, 'b': 2, 'c': 1})

    False

    >>> is_one_to_one({})

    True

    """"""



    seen = []  # The values that have been seen so far.

    for k in d:

        if d[k] in seen:

            return False

        else:

            seen.append(d[k])



    return True

</pre>



Select the algorithm that <em>best</em> describes the approach taken in the function defined above.","<ol>

<li> Use a list accumulator to keep track of the values we've seen so far.</li>

<li> For each key in <code>d</code>, if the value associated with that key has already been seen, return <code>False</code>.  Otherwise, return <code>True</code>.</li>

</ol>","<ol>

<li> Use a list accumulator to keep track of the values we've seen so far.</li>

<li> For each key in <code>d</code>, if the value associated with that key has already been seen, return <code>False</code>.  Otherwise, append it to the list of values that we've seen so far.</li>

<li>Once all the keys have been processed, return <code>True</code> because we didn't see a duplicate value.</li>

</ol>","<ol>

<li> Put all the values from <code>d</code> into a list.</li>

<li> For each value in the list, count how many times it appears in the list.  If a value appears more than once in the list, return <code>False</code>.</li>

<li>Once all the values in the list have been processed, return <code>True</code> because we didn't see a duplicate value.</li>



</ol>",,,,,,,,,,,,

"Given <code>numbers = [[1, 2], 3, [4, 5]]</code>, what does the expression <code>len(numbers)</code> produce?",<code>3</code>,<code>4</code>,<code>5</code>,,,,,,,,,,,,

"Consider this code:

<pre>

lst1 = ['a', 'b', 'c']

lst2 = ['d', 'e', 'f']

lst3 = [lst1, lst2]

lst3[1].append('g')

lst3.append(['h'])

lst3[0].pop()

</pre>

After the code above is executed, which value does <code>lst3</code> refer to?","<pre>[[b', 'c'], ['d', 'e', 'f', 'g'], ['h']]</pre>","<pre>[['d', 'e', 'f', 'g', 'h']]</pre>","<pre>[['a', 'b', 'c'], ['d', 'e', 'f', 'g']]</pre>","<pre>[['a', 'b'], ['d', 'e', 'f', 'g'], ['h']]</pre>",,,,,,,,,,,

"In terms of <code>i</code>, in the <em>worst case</em>, does function <code>insert</code> have constant running time, linear running

time, quadratic running time, or some other running time?

",constant,linear,quadratic,something else,,,,,,,,,,,

"Consider this code: <pre>

letters = [['a', 'b'], ['c', 'd']]</pre>

What type of value is produced by <code>letters[0]</code>?",list of str,str,list of list of str,int,,,,,,,,,,,

"Consider this code:

<pre>

animal_to_locomotion = {'fish' : ['swim'],

                        'kangaroo' : ['hop'],

                        'frog' : ['swim', 'hop']}

animal_to_locomotion['human'] = ['swim', 'run', 'walk', 'airplane']

</pre>

Will the number of key/value pairs in the dictionary increase?",yes,no,,,,,,,,,,,,,

"Assuming <code>s</code> refers to <code>'y'</code>, what happens when <code>s[len(s) - len(s) // 2:]</code> is evaluated?","It produces the empty string, <code>''</code>.",It produces <code>'y'</code>.,It results in an <code>IndexError</code>.,,,,,,,,,,,,

"In the <em>worst case</em>, does <code>insertion_sort</code> have constant running time, linear running time, quadratic running time, or some other running time?",constant,something else,linear,quadratic,,,,,,,,,,,

"Consider this code:

<pre>

x = 12 / 5

</pre>

What value does <code>x</code> refer to?",2,2.3,2.4,2.25,,,,,,,,,,,

"Consider this code:

<pre>

x = 12 / 7

</pre>

What value does <code>x</code> refer to?",1,1.7,2,1.714285714,,,,,,,,,,,

"Consider the function described by the following docstring:

<pre>

def filter_out_odds(lst):

    """""" (list of int) -> NoneType

        

    Remove the odd integers from list lst.

    """"""

</pre>

Which three test case factors would be most appropriate to consider when choosing test cases for this function?

<br>","Size, because we should test with lists of different lengths.","Dichotomies, because we should test with lists that contain odd integers and lists that don't contain odd integers.","Boundaries, because 0 divides the positive and negative integers.","Order, because we should test with lists that have odd integers at the front, middle, and end.",,,,,,,,,,,

"Consider this code:

<pre>

def repeat_chars(s):

    """""" (str) -> str""""""



    double = ''



    for ch in s:

        double = double + ch * 2  # The step being considered.



    return double

</pre>

As the length of the <code>s</code> grows, how does the number of steps grow with respect to <code>len(s)</code>?

<br>",The number of steps is <b>constant</b>.,The number of steps grows <b>logarithmically</b> with respect to <code>len(s)</code>.,The number of steps grows <b>linearly</b> with respect to <code>len(s)</code>.,The number of steps grows <b>quadratically</b> with respect to <code>len(L)</code>.,,,,,,,,,,,

"Consider the following class:

<pre>class Dinglehopper:

    def __init__(self, first):

        self.first = first



    def __str__(self):

        return str(self.first)</pre>

 

We have created two instances of Dinglehopper:

 <pre>i1 = Dinglehopper(5)

i2 = Dinglehopper(3)</pre>



What will this statement do?

<pre>print(i1)</pre>

","Nothing will happen, you need to use print instead of return in method __str__().",The value 5 will be printed.,The value 3 will be printed.,The value 8 will be printed.,The value 'Dinglehopper(5)' will be printed.,,,,,,,,,,

"Consider this code:

<pre>

def can_vote(age):

    """""" (int) -> bool



    Precondition: age >= 0



    Return True if and only if a person aged age can vote in Canada.

    The legal voting age in Canada is 18 years and older.

    """"""



    return age > 18

</pre>

There is a bug in the implementation of the function above (the code does not work as described). Select the test(s) that reveal the bug.  (Think about the <b>Boundary</b> category for choosing test cases.)

<br>","<code>age</code> is between <code>0</code> and <code>18</code>, exclusive",<code>age</code> is <code>0</code>,<code>age</code> refers to <code>18</code>,<code>age</code> is over <code>18</code>,,,,,,,,,,,

What type of value does built-in function <code>id</code> return? Determine the answer using the description given by <code>help(id)</code>.,<code>int</code>,<code>float</code>,,,,,,,,,,,,,

"Consider this code:

<pre>

x = 8 // 4

</pre>

What value does <code>x</code> refer to?",2,4,2,1,,,,,,,,,,,

"Consider this code:

<pre>&gt;&gt;&gt; d = {'a': 1, 'b': 2}

&gt;&gt;&gt; # CODE MISSING HERE

&gt;&gt;&gt; d

{'a': 1, 'c': 3, 'b': 2}

</pre>

Write the missing assignment statement that that modifies the dictionary as shown. (Just write the assignment statement; don't write the <code>&gt;&gt;&gt;</code> part.)",<code>'c' = 3</code>,<code>d = {'c': 3}</code>,<code>d['c'] = 3</code>,,,,,,,,,,,,

"What is the sum of the <b>even</b> numbers from 524 through 10508, inclusive? Hint: write a <code>while</code> loop to accumulate the sum and print it. Then copy and paste that sum.  For maximum learning, do it with a <code>for</code> loop as well, using <code>range</code>.",52451388,52410508,27541388,,,,,,,,,,,,

Select the legal Python name(s) below.,<code>happy_day</code>,<code>18happy_day</code>,<code>happy_45day</code>,<code>happy!day?</code>,,,,,,,,,,,

"Consider this code:

<pre>

x = 12 // 3

</pre>

What value does <code>x</code> refer to?",0.3,1,4,4,,,,,,,,,,,

"Consider this code:

<pre>

def example(a, b, c):

    d = a + b - c

    return d

</pre>

How many parameters does function <code>example</code> have?",0,3,1,2,,,,,,,,,,,

"Consider this code:

<pre>

data = 3

data2 = 7.5

result = min(data, data2)

</pre>

Select the phrase that describes <code>data</code> in the <strong>third</strong> line.",a parameter,an argument,a function name,,,,,,,,,,,,

"This is a survey question which has no right answer but which will help us gauge whether the course is working well. Please select the *single* answer that best describes the majority of your previous experience programming, if any.



",I have taken a programming course in high school/elementary school before CSC108.,I have had little or no programming experience before CSC108.,"I have never taken a programming course but had previous programming experience before CSC108 (work, personal projects, etc.).",I have taken a programming course at the post-secondary (college or university) level before CSC108.,,,,,,,,,,,

"Note: There is no incorrect answer to this question. We are interested in knowing what you consider important when solving a programming problem.



You are being asked to solve a programming problem that involves writing a function. What do you look at first?  ",The problem description.,"The function name, if it is provided.","The function's type signature, if it is provided.","The function's description, if it is provided.","The examples in the docstring, if any are provided.",The testcases.,,,,,,,,,

"For the call <code>insertion_sort(L)</code>, in the <em>worst case</em>, write a formula expressing how many comparisons are made during <b>all</b> the calls to <code>insert</code>.  Let <code>len(L)</code> be represented by <code>n</code>.",<code>n</code>,<code>2n + 1</code>,<code>n<sup>2</sup></code>,,,,,,,,,,,,

"Given <code>numbers = [[1, 2], 3, [4, 5]]</code>, select the expression(s) that produce <code>4</code>.",<code>numbers[2][0]</code>,<code>numbers[3]</code>,<code>numbers[2]</code>,<code>numbers[2][1]</code>,,,,,,,,,,,

"Consider this code:

<pre>

budget_file = open('budgie_budget.txt', 'w')

budget_file.write('Seed: $10/month')

budget_file.write('Cage: $50')

budget_file.close()

</pre>

